Date,Close
03/09/2024 16:00:00,158.61
04/09/2024 16:00:00,157.81
05/09/2024 16:00:00,158.6
06/09/2024 16:00:00,152.13
09/09/2024 16:00:00,149.54
10/09/2024 16:00:00,150.01
11/09/2024 16:00:00,152.15
12/09/2024 16:00:00,155.54
13/09/2024 16:00:00,158.37
16/09/2024 16:00:00,158.99
17/09/2024 16:00:00,160.28
18/09/2024 16:00:00,160.81
19/09/2024 16:00:00,163.24
20/09/2024 16:00:00,164.64
23/09/2024 16:00:00,163.07
24/09/2024 16:00:00,163.64
25/09/2024 16:00:00,162.99
26/09/2024 16:00:00,163.83
27/09/2024 16:00:00,165.29
30/09/2024 16:00:00,167.19
01/10/2024 16:00:00,168.42
02/10/2024 16:00:00,167.31
03/10/2024 16:00:00,167.21
04/10/2024 16:00:00,168.56
07/10/2024 16:00:00,164.39
08/10/2024 16:00:00,165.7
09/10/2024 16:00:00,163.06
10/10/2024 16:00:00,163.18
11/10/2024 16:00:00,164.52
14/10/2024 16:00:00,166.35
15/10/2024 16:00:00,166.9
16/10/2024 16:00:00,166.74
17/10/2024 16:00:00,164.51
18/10/2024 16:00:00,165.05
21/10/2024 16:00:00,165.8
22/10/2024 16:00:00,166.82
23/10/2024 16:00:00,164.48
24/10/2024 16:00:00,164.53
25/10/2024 16:00:00,166.99
28/10/2024 16:00:00,168.34
29/10/2024 16:00:00,171.14
30/10/2024 16:00:00,176.14
31/10/2024 16:00:00,172.69
01/11/2024 16:00:00,172.65
04/11/2024 16:00:00,170.68
05/11/2024 16:00:00,171.41
06/11/2024 16:00:00,178.33
07/11/2024 16:00:00,182.28
08/11/2024 16:00:00,179.86
11/11/2024 16:00:00,181.97
12/11/2024 16:00:00,183.32
13/11/2024 16:00:00,180.49
14/11/2024 16:00:00,177.35
15/11/2024 16:00:00,173.89
18/11/2024 16:00:00,176.8
19/11/2024 16:00:00,179.58
20/11/2024 16:00:00,177.33
21/11/2024 16:00:00,169.24
22/11/2024 16:00:00,166.57
25/11/2024 16:00:00,169.43
26/11/2024 16:00:00,170.62
27/11/2024 16:00:00,170.82
29/11/2024 13:05:00,170.49
